bio,date,device,followers,following,location,query_type,screen_name,tweet
b'',Mon Feb 17 21:31:03 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",168.0,192.0,"Merdead, CA ",Sanders,b'pimpnsince02',"b'""How hard is it to hit water? \xe2\x80\xa6 Fellas, we gotta do better""\n\nDeion Sanders needs answers \xf0\x9f\xa4\xa3 @brgridiron\n\nhttps://t.co/eTRKftKvc0'"
b'https://t.co/YCKLTFVMcj. code. makes movies. ranch. knit. namaste.\nhttps://t.co/19NG2slDMv\nInstagram: buffalogirlsdesign',Mon Feb 17 22:04:09 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",795.0,2262.0,Under the Western Sky,Biden,b'bgdesign',b'When will Joe Biden publicly disavow his toxic surrogates? https://t.co/JSBzj8mzqh'
"b""Love sports, reading and old movies from the 30's and 40's. MAGA!  May God bless 45.""",Sun Feb 16 18:37:11 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1126.0,1344.0,,Bloomberg,b'DitterBirdie',"b""MUST SEE: Gun Rights Activists Crash Bloomberg Rally in Virginia, Chant 'Guns Save Lives' https://t.co/zj0zCM5dW6 via @gatewaypundit"""
"b'Aspiring serial writer and Creative producer. Oh yeah, I design jewelry too :)'",Mon Feb 17 17:22:48 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2505.0,3636.0,Jamaica,Warren,b'TruLolita',"b'People told me no other campaigns had came to listen to them. They came to offer them money or to put up signs.\n\nI think Pastor Murray put it best: \n\n""Maybe Elizabeth Warren is a new breed of politician. I\'m raising her up she is one to do things differently."" 7/ https://t.co/IX2Av4pE0w'"
"b""I'm weird and I like it\nI love great memes\nCool guy on a wheelchair \xf0\x9f\x98\x8e\nYANG2020 \nHUMANITY FIRST\nSECURE THE BAG\nI have a crush on Inga Jeffery, no snitchin""",Mon Feb 17 22:18:42 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",3163.0,2810.0,,Buttigieg,b'DHotwheelz',"b'@unsnappedjames @ZachG2020 When you look me in the eyes, tell me that you love me, everything is alright ill be right here by your side\n\nWhen you look me in the eyes, I catch a glimpse of heaven. i found my paradise. When you look me in the eyes\n\n- Pete Buttigieg'"
"b""New Account rebuilding again\nNurse Educator Researcher #KAG #borders #military #1st #2ndA #John'sArmy Rescue greyhounds Retired Gov contractor #TRUMP20/20""",Mon Feb 17 22:04:22 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1082.0,1120.0,,Klobuchar,b'Averyjo27848468',"b""Amy Klobuchar comes across very poorly in this interview. \nHaven't seen any media coverage of her cringe-worthy and embarrassing performance.\nThe problem with pandering to other countries is that it becomes an unwinnable race. And Dems love to run those.\nhttps://t.co/faTJZNdoaY"""
b'Prossperot \nLiving with Hermits\nSatellite Giant',Mon Feb 17 22:21:39 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",252.0,562.0,KFC,Sanders,b'ShillelaghMail',"b""@MancinelliTerri @nytdavidbrooks You think Sanders won't help downballot Senate races at all? Do you know any Democrats?"""
b'all about dogs and democrats',Mon Feb 17 22:21:39 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",4.0,175.0,,Biden,b'ilovepaulmcc',"b'@Weinsteinlaw @cher Cher, Biden is smart, kind, genuine, honest, decent, caring, affectionate, wise, and experienced. He deserves to be our next president.'"
b'My blood type=my philosophy: B+. Just moved to my tiny house. #TheResistance I block accounts w/lotsa numbers in handle.',Mon Feb 17 13:52:51 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",2213.0,2897.0,Central PA,Bloomberg,b'bonitalea',"b""If I were a Democrat running for the Presidency, I wouldn't even mention Mike's name. I'd leave him alone. He's spending millions going after Trump.\nThe candidates should all be going after Trump and making their pitches without attacking each other.\nhttps://t.co/L9OkNWqZhG"""
"b'Learning to speak as an adult in a Peanuts cartoon. Daydreamer, Non-conformist, Contrarian, liberal, progressive, #JillNotHill'",Mon Feb 17 22:21:39 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1474.0,1479.0,Wa state,Warren,b'Underdawg47',"b""@mark_matson @SilERabbit Warren is not a progressive. She voted for Trump's military budget twice and said she would take corporate money in the general election."""
"b'Former Counsel to CA Senate Public Safety Committee, former Advocate, ACLU of CA, former Public Defender. Rootless Cosmopolitan. Opinions are my own.'",Mon Feb 17 15:36:31 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",298.0,828.0,,Buttigieg,b'SMeinrath',b'Voters should know that @MikeBloomberg literally has the worst climate score out of everyone running.\n\nBernie: A+ (94/100)\nSteyer: A (88)\nWarren: A (87)\nButtigieg: B+ (72.5)\nBiden: B+ (72)\nGabbard: B (69.5)\nKlobuchar: C+ (52.5)\nBloomberg: C+ (50)\n\nhttps://t.co/vpfBWhKgOa'
